------Generation 0------
Rule  1: d5cb7, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 33: 35221, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 18c47, Class:  1, CF:0.864273, Len:  5, Fitness_tra: 0
Rule 35: 11414, Class:  2, CF:0.462644, Len:  5, Fitness_tra: 0
Rule 36: 35444, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 37: 51474, Class:  0, CF:0.756067, Len:  5, Fitness_tra: 0
Rule 38: 11117, Class:  2, CF:0.431553, Len:  5, Fitness_tra: 0
Rule 39: 5141b, Class:  2, CF:0.349522, Len:  5, Fitness_tra: 0
Rule 40: 11111, Class:  2, CF:0.622076, Len:  5, Fitness_tra: 0
Rule 41: 511bb, Class:  0, CF:0.774009, Len:  5, Fitness_tra: 0
Rule 42: 52124, Class:  0, CF:0.60309, Len:  5, Fitness_tra: 0
Rule 43: e114b, Class:  0, CF:0.984336, Len:  5, Fitness_tra: 0
Rule 44: d2411, Class:  2, CF:0.760187, Len:  5, Fitness_tra: 0
Rule 45: 58277, Class:  2, CF:0.754227, Len:  5, Fitness_tra: 0
Rule 46: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 47: 11121, Class:  0, CF:0.0196941, Len:  5, Fitness_tra: 0
Rule 48: 12414, Class:  2, CF:0.407736, Len:  5, Fitness_tra: 0
Rule 49: 52224, Class:  0, CF:0.377106, Len:  5, Fitness_tra: 0
Rule 50: 92c27, Class:  1, CF:0.827686, Len:  5, Fitness_tra: 0
Rule 51: 92121, Class:  0, CF:0.360639, Len:  5, Fitness_tra: 0
Rule 52: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 53: d1211, Class:  2, CF:0.720836, Len:  5, Fitness_tra: 0
Rule 54: 1d127, Class:  1, CF:0.309326, Len:  5, Fitness_tra: 0
Rule 55: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 56: 38211, Class:  1, CF:0.983274, Len:  5, Fitness_tra: 0
Rule 57: 2111b, Class:  2, CF:0.309016, Len:  5, Fitness_tra: 0
Rule 58: 52272, Class:  0, CF:0.675028, Len:  5, Fitness_tra: 0
Rule 59: 8112b, Class:  0, CF:0.666824, Len:  5, Fitness_tra: 0
Rule 60: e0000, Class:  0, CF:0.15009, Len:  1, Fitness_tra: 0
Rule 61: 1c444, Class:  2, CF:0.822313, Len:  5, Fitness_tra: 0
Rule 62: 91444, Class:  0, CF:0.913976, Len:  5, Fitness_tra: 0
Rule 63: 00400, Class:  2, CF:0.291368, Len:  1, Fitness_tra: 0
Rule 64: 51424, Class:  0, CF:0.811218, Len:  5, Fitness_tra: 0
Rule 65: 95474, Class:  1, CF:0.992838, Len:  5, Fitness_tra: 0
Rule 66: 2c412, Class:  2, CF:0.873354, Len:  5, Fitness_tra: 0
Rule 67: 1d122, Class:  1, CF:0.309326, Len:  5, Fitness_tra: 0
Rule 68: 58122, Class:  2, CF:0.885728, Len:  5, Fitness_tra: 0
Rule 69: 04700, Class:  2, CF:0.530994, Len:  2, Fitness_tra: 0
Rule 70: 11472, Class:  0, CF:0.641189, Len:  5, Fitness_tra: 0
Rule 71: 12244, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 9d212, Class:  1, CF:0.98839, Len:  5, Fitness_tra: 0
Rule 73: 5117b, Class:  0, CF:0.8248, Len:  5, Fitness_tra: 0
Rule 74: 55412, Class:  1, CF:0.802648, Len:  5, Fitness_tra: 0
Rule 75: 5c722, Class:  2, CF:0.869945, Len:  5, Fitness_tra: 0
Rule 76: 11c12, Class:  1, CF:0.498648, Len:  5, Fitness_tra: 0
Rule 77: 9d472, Class:  1, CF:0.980972, Len:  5, Fitness_tra: 0
Rule 78: 31441, Class:  1, CF:0.0403261, Len:  5, Fitness_tra: 0
Rule 79: 21174, Class:  0, CF:0.774303, Len:  5, Fitness_tra: 0
Rule 80: 95211, Class:  1, CF:0.995012, Len:  5, Fitness_tra: 0
Rule 81: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 82: 14422, Class:  0, CF:0.303523, Len:  5, Fitness_tra: 0
Rule 83: d0000, Class:  2, CF:0.455911, Len:  1, Fitness_tra: -2
Rule 84: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 85: 815b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 87: 11411, Class:  2, CF:0.472956, Len:  5, Fitness_tra: 0
Rule 88: e1212, Class:  0, CF:0.506482, Len:  5, Fitness_tra: 0
Rule 89: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 90: 11112, Class:  2, CF:0.0742687, Len:  5, Fitness_tra: 0
Rule 91: 0116d, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 92: 2c412, Class:  2, CF:0.873354, Len:  0, Fitness_tra: 0
Rule 93: 10100, Class:  2, CF:0.459792, Len:  2, Fitness_tra: 0
Rule 94: e9701, Class:  1, CF:  1, Len:  4, Fitness_tra: 1
Rule 95: 5c442, Class:  2, CF:0.862163, Len:  5, Fitness_tra: 0
Rule 96: 5b111, Class:  2, CF:0.621742, Len:  5, Fitness_tra: 0
Rule 97: e142e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 3116b, Class:  2, CF:0.37229, Len:  5, Fitness_tra: 0
Rule 99: 0ac00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 35221, Class:  1, CF:  1, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:24.7423
------Result------
Miss_rate(tra)	:24.7423
Miss_rate(tst)	:23.8095
ARL				:4.33708

------Generation 3------
Rule  1: 04000, Class:  2, CF:0.567272, Len:  1, Fitness_tra: 35
Rule  2: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 35
Rule  3: 040a0, Class:  2, CF:0.603641, Len:  2, Fitness_tra: 12
Rule  4: 04b00, Class:  2, CF:0.632617, Len:  2, Fitness_tra: 7
Rule  5: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 6
Rule  6: 32411, Class:  1, CF:0.878327, Len:  5, Fitness_tra: 2
Rule  7: 21124, Class:  0, CF:0.869943, Len:  5, Fitness_tra: 1
Rule  8: e4211, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 9d1bb, Class:  1, CF:0.937245, Len:  5, Fitness_tra: 0
Rule 10: 55211, Class:  1, CF:0.903202, Len:  5, Fitness_tra: 0
Rule 11: 95c47, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 12: 121b7, Class:  2, CF:0.296548, Len:  5, Fitness_tra: 0
Rule 13: 12712, Class:  2, CF:0.444275, Len:  5, Fitness_tra: 0
Rule 14: 18247, Class:  2, CF:0.107359, Len:  5, Fitness_tra: 0
Rule 15: e1221, Class:  0, CF:0.820636, Len:  5, Fitness_tra: 0
Rule 16: d5412, Class:  2, CF:0.00967472, Len:  5, Fitness_tra: 0
Rule 17: 31272, Class:  2, CF:0.0755542, Len:  5, Fitness_tra: 0
Rule 18: 51112, Class:  0, CF:0.43773, Len:  5, Fitness_tra: 0
Rule 19: 1c214, Class:  2, CF:0.710962, Len:  5, Fitness_tra: 0
Rule 20: d541b, Class:  2, CF:0.00967472, Len:  5, Fitness_tra: 0
Rule 21: 2312b, Class:  0, CF:0.868113, Len:  5, Fitness_tra: 0
Rule 22: 31241, Class:  1, CF:0.422239, Len:  5, Fitness_tra: 0
Rule 23: d5714, Class:  2, CF:0.227989, Len:  5, Fitness_tra: 0
Rule 24: 51214, Class:  2, CF:0.0735635, Len:  5, Fitness_tra: 0
Rule 25: 15c14, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 26: 91472, Class:  0, CF:0.942387, Len:  5, Fitness_tra: 0
Rule 27: 12472, Class:  0, CF:0.236303, Len:  5, Fitness_tra: 0
Rule 28: 9d447, Class:  1, CF:0.980972, Len:  5, Fitness_tra: 0
Rule 29: 12477, Class:  2, CF:0.341497, Len:  5, Fitness_tra: 0
Rule 30: 5121b, Class:  2, CF:0.349522, Len:  5, Fitness_tra: 0
Rule 31: 122b1, Class:  1, CF:0.272961, Len:  5, Fitness_tra: 0
Rule 32: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 33: 35221, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 18c47, Class:  1, CF:0.864273, Len:  5, Fitness_tra: 0
Rule 35: 11414, Class:  2, CF:0.462644, Len:  5, Fitness_tra: 0
Rule 36: 35444, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 37: 51474, Class:  0, CF:0.756067, Len:  5, Fitness_tra: 0
Rule 38: 11117, Class:  2, CF:0.431553, Len:  5, Fitness_tra: 0
Rule 39: 5141b, Class:  2, CF:0.349522, Len:  5, Fitness_tra: 0
Rule 40: 11111, Class:  2, CF:0.622076, Len:  5, Fitness_tra: 0
Rule 41: 511bb, Class:  0, CF:0.774009, Len:  5, Fitness_tra: 0
Rule 42: 52124, Class:  0, CF:0.60309, Len:  5, Fitness_tra: 0
Rule 43: e114b, Class:  0, CF:0.984336, Len:  5, Fitness_tra: 0
Rule 44: d2411, Class:  2, CF:0.760187, Len:  5, Fitness_tra: 0
Rule 45: 58277, Class:  2, CF:0.754227, Len:  5, Fitness_tra: 0
Rule 46: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 47: 11121, Class:  0, CF:0.0196941, Len:  5, Fitness_tra: 0
Rule 48: 12414, Class:  2, CF:0.407736, Len:  5, Fitness_tra: 0
Rule 49: 52224, Class:  0, CF:0.377106, Len:  5, Fitness_tra: 0
Rule 50: 92c27, Class:  1, CF:0.827686, Len:  5, Fitness_tra: 0
Rule 51: 92121, Class:  0, CF:0.360639, Len:  5, Fitness_tra: 0
Rule 52: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 53: d1211, Class:  2, CF:0.720836, Len:  5, Fitness_tra: 0
Rule 54: 1d127, Class:  1, CF:0.309326, Len:  5, Fitness_tra: 0
Rule 55: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 56: 38211, Class:  1, CF:0.983274, Len:  5, Fitness_tra: 0
Rule 57: 2111b, Class:  2, CF:0.309016, Len:  5, Fitness_tra: 0
Rule 58: 52272, Class:  0, CF:0.675028, Len:  5, Fitness_tra: 0
Rule 59: 8112b, Class:  0, CF:0.666824, Len:  5, Fitness_tra: 0
Rule 60: e0000, Class:  0, CF:0.15009, Len:  1, Fitness_tra: 0
Rule 61: 1c444, Class:  2, CF:0.822313, Len:  5, Fitness_tra: 0
Rule 62: 91444, Class:  0, CF:0.913976, Len:  5, Fitness_tra: 0
Rule 63: 00400, Class:  2, CF:0.291368, Len:  1, Fitness_tra: 0
Rule 64: 51424, Class:  0, CF:0.811218, Len:  5, Fitness_tra: 0
Rule 65: 95474, Class:  1, CF:0.992838, Len:  5, Fitness_tra: 0
Rule 66: 2c412, Class:  2, CF:0.873354, Len:  5, Fitness_tra: 0
Rule 67: 1d122, Class:  1, CF:0.309326, Len:  5, Fitness_tra: 0
Rule 68: 58122, Class:  2, CF:0.885728, Len:  5, Fitness_tra: 0
Rule 69: 04700, Class:  2, CF:0.530994, Len:  2, Fitness_tra: 0
Rule 70: 11472, Class:  0, CF:0.641189, Len:  5, Fitness_tra: 0
Rule 71: 12244, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 9d212, Class:  1, CF:0.98839, Len:  5, Fitness_tra: 0
Rule 73: 5117b, Class:  0, CF:0.8248, Len:  5, Fitness_tra: 0
Rule 74: 55412, Class:  1, CF:0.802648, Len:  5, Fitness_tra: 0
Rule 75: 5c722, Class:  2, CF:0.869945, Len:  5, Fitness_tra: 0
Rule 76: 11c12, Class:  1, CF:0.498648, Len:  5, Fitness_tra: 0
Rule 77: 9d472, Class:  1, CF:0.980972, Len:  5, Fitness_tra: 0
Rule 78: 31441, Class:  1, CF:0.0403261, Len:  5, Fitness_tra: 0
Rule 79: 21174, Class:  0, CF:0.774303, Len:  5, Fitness_tra: 0
Rule 80: 95211, Class:  1, CF:0.995012, Len:  5, Fitness_tra: 0
Rule 81: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 82: 14422, Class:  0, CF:0.303523, Len:  5, Fitness_tra: 0
Rule 83: d0000, Class:  2, CF:0.455911, Len:  1, Fitness_tra: -2
Rule 84: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 85: 815b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 87: 11411, Class:  2, CF:0.472956, Len:  5, Fitness_tra: 0
Rule 88: e1212, Class:  0, CF:0.506482, Len:  5, Fitness_tra: 0
Rule 89: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 90: 11112, Class:  2, CF:0.0742687, Len:  5, Fitness_tra: 0
Rule 91: 0116d, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 92: 2c412, Class:  2, CF:0.873354, Len:  0, Fitness_tra: 0
Rule 93: 10100, Class:  2, CF:0.459792, Len:  2, Fitness_tra: 0
Rule 94: e9701, Class:  1, CF:  1, Len:  4, Fitness_tra: 1
Rule 95: 5c442, Class:  2, CF:0.862163, Len:  5, Fitness_tra: 0
Rule 96: 5b111, Class:  2, CF:0.621742, Len:  5, Fitness_tra: 0
Rule 97: e142e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 3116b, Class:  2, CF:0.37229, Len:  5, Fitness_tra: 0
Rule 99: 0ac00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 35221, Class:  1, CF:  1, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:24.7423
------Result------
Miss_rate(tra)	:24.7423
Miss_rate(tst)	:23.8095
ARL				:4.33708

------Generation 4------
Rule  1: 04000, Class:  2, CF:0.567272, Len:  1, Fitness_tra: 35
Rule  2: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 35
Rule  3: 040a0, Class:  2, CF:0.603641, Len:  2, Fitness_tra: 12
Rule  4: 04b00, Class:  2, CF:0.632617, Len:  2, Fitness_tra: 7
Rule  5: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 6
Rule  6: 32411, Class:  1, CF:0.878327, Len:  5, Fitness_tra: 2
Rule  7: 21124, Class:  0, CF:0.869943, Len:  5, Fitness_tra: 1
Rule  8: e4211, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 9d1bb, Class:  1, CF:0.937245, Len:  5, Fitness_tra: 0
Rule 10: 55211, Class:  1, CF:0.903202, Len:  5, Fitness_tra: 0
Rule 11: 95c47, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 12: 121b7, Class:  2, CF:0.296548, Len:  5, Fitness_tra: 0
Rule 13: 12712, Class:  2, CF:0.444275, Len:  5, Fitness_tra: 0
Rule 14: 18247, Class:  2, CF:0.107359, Len:  5, Fitness_tra: 0
Rule 15: e1221, Class:  0, CF:0.820636, Len:  5, Fitness_tra: 0
Rule 16: d5412, Class:  2, CF:0.00967472, Len:  5, Fitness_tra: 0
Rule 17: 31272, Class:  2, CF:0.0755542, Len:  5, Fitness_tra: 0
Rule 18: 51112, Class:  0, CF:0.43773, Len:  5, Fitness_tra: 0
Rule 19: 1c214, Class:  2, CF:0.710962, Len:  5, Fitness_tra: 0
Rule 20: d541b, Class:  2, CF:0.00967472, Len:  5, Fitness_tra: 0
Rule 21: 2312b, Class:  0, CF:0.868113, Len:  5, Fitness_tra: 0
Rule 22: 31241, Class:  1, CF:0.422239, Len:  5, Fitness_tra: 0
Rule 23: d5714, Class:  2, CF:0.227989, Len:  5, Fitness_tra: 0
Rule 24: 51214, Class:  2, CF:0.0735635, Len:  5, Fitness_tra: 0
Rule 25: 15c14, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 26: 91472, Class:  0, CF:0.942387, Len:  5, Fitness_tra: 0
Rule 27: 12472, Class:  0, CF:0.236303, Len:  5, Fitness_tra: 0
Rule 28: 9d447, Class:  1, CF:0.980972, Len:  5, Fitness_tra: 0
Rule 29: 12477, Class:  2, CF:0.341497, Len:  5, Fitness_tra: 0
Rule 30: 5121b, Class:  2, CF:0.349522, Len:  5, Fitness_tra: 0
Rule 31: 122b1, Class:  1, CF:0.272961, Len:  5, Fitness_tra: 0
Rule 32: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 33: 35221, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 18c47, Class:  1, CF:0.864273, Len:  5, Fitness_tra: 0
Rule 35: 11414, Class:  2, CF:0.462644, Len:  5, Fitness_tra: 0
Rule 36: 35444, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 37: 51474, Class:  0, CF:0.756067, Len:  5, Fitness_tra: 0
Rule 38: 11117, Class:  2, CF:0.431553, Len:  5, Fitness_tra: 0
Rule 39: 5141b, Class:  2, CF:0.349522, Len:  5, Fitness_tra: 0
Rule 40: 11111, Class:  2, CF:0.622076, Len:  5, Fitness_tra: 0
Rule 41: 511bb, Class:  0, CF:0.774009, Len:  5, Fitness_tra: 0
Rule 42: 52124, Class:  0, CF:0.60309, Len:  5, Fitness_tra: 0
Rule 43: e114b, Class:  0, CF:0.984336, Len:  5, Fitness_tra: 0
Rule 44: d2411, Class:  2, CF:0.760187, Len:  5, Fitness_tra: 0
Rule 45: 58277, Class:  2, CF:0.754227, Len:  5, Fitness_tra: 0
Rule 46: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 47: 11121, Class:  0, CF:0.0196941, Len:  5, Fitness_tra: 0
Rule 48: 12414, Class:  2, CF:0.407736, Len:  5, Fitness_tra: 0
Rule 49: 52224, Class:  0, CF:0.377106, Len:  5, Fitness_tra: 0
Rule 50: 92c27, Class:  1, CF:0.827686, Len:  5, Fitness_tra: 0
Rule 51: 92121, Class:  0, CF:0.360639, Len:  5, Fitness_tra: 0
Rule 52: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 53: d1211, Class:  2, CF:0.720836, Len:  5, Fitness_tra: 0
Rule 54: 1d127, Class:  1, CF:0.309326, Len:  5, Fitness_tra: 0
Rule 55: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 56: 38211, Class:  1, CF:0.983274, Len:  5, Fitness_tra: 0
Rule 57: 2111b, Class:  2, CF:0.309016, Len:  5, Fitness_tra: 0
Rule 58: 52272, Class:  0, CF:0.675028, Len:  5, Fitness_tra: 0
Rule 59: 8112b, Class:  0, CF:0.666824, Len:  5, Fitness_tra: 0
Rule 60: e0000, Class:  0, CF:0.15009, Len:  1, Fitness_tra: 0
Rule 61: 1c444, Class:  2, CF:0.822313, Len:  5, Fitness_tra: 0
Rule 62: 91444, Class:  0, CF:0.913976, Len:  5, Fitness_tra: 0
Rule 63: 00400, Class:  2, CF:0.291368, Len:  1, Fitness_tra: 0
Rule 64: 51424, Class:  0, CF:0.811218, Len:  5, Fitness_tra: 0
Rule 65: 95474, Class:  1, CF:0.992838, Len:  5, Fitness_tra: 0
Rule 66: 2c412, Class:  2, CF:0.873354, Len:  5, Fitness_tra: 0
Rule 67: 1d122, Class:  1, CF:0.309326, Len:  5, Fitness_tra: 0
Rule 68: 58122, Class:  2, CF:0.885728, Len:  5, Fitness_tra: 0
Rule 69: 04700, Class:  2, CF:0.530994, Len:  2, Fitness_tra: 0
Rule 70: 11472, Class:  0, CF:0.641189, Len:  5, Fitness_tra: 0
Rule 71: 12244, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 9d212, Class:  1, CF:0.98839, Len:  5, Fitness_tra: 0
Rule 73: 5117b, Class:  0, CF:0.8248, Len:  5, Fitness_tra: 0
Rule 74: 55412, Class:  1, CF:0.802648, Len:  5, Fitness_tra: 0
Rule 75: 5c722, Class:  2, CF:0.869945, Len:  5, Fitness_tra: 0
Rule 76: 11c12, Class:  1, CF:0.498648, Len:  5, Fitness_tra: 0
Rule 77: 9d472, Class:  1, CF:0.980972, Len:  5, Fitness_tra: 0
Rule 78: 31441, Class:  1, CF:0.0403261, Len:  5, Fitness_tra: 0
Rule 79: 21174, Class:  0, CF:0.774303, Len:  5, Fitness_tra: 0
Rule 80: 95211, Class:  1, CF:0.995012, Len:  5, Fitness_tra: 0
Rule 81: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 82: 14422, Class:  0, CF:0.303523, Len:  5, Fitness_tra: 0
Rule 83: d0000, Class:  2, CF:0.455911, Len:  1, Fitness_tra: -2
Rule 84: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 85: 815b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 87: 11411, Class:  2, CF:0.472956, Len:  5, Fitness_tra: 0
Rule 88: e1212, Class:  0, CF:0.506482, Len:  5, Fitness_tra: 0
Rule 89: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 90: 11112, Class:  2, CF:0.0742687, Len:  5, Fitness_tra: 0
Rule 91: 0116d, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 92: 2c412, Class:  2, CF:0.873354, Len:  0, Fitness_tra: 0
Rule 93: 10100, Class:  2, CF:0.459792, Len:  2, Fitness_tra: 0
Rule 94: e9701, Class:  1, CF:  1, Len:  4, Fitness_tra: 1
Rule 95: 5c442, Class:  2, CF:0.862163, Len:  5, Fitness_tra: 0
Rule 96: 5b111, Class:  2, CF:0.621742, Len:  5, Fitness_tra: 0
Rule 97: e142e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 3116b, Class:  2, CF:0.37229, Len:  5, Fitness_tra: 0
Rule 99: 0ac00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 35221, Class:  1, CF:  1, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:24.7423
------Result------
Miss_rate(tra)	:24.7423
Miss_rate(tst)	:23.8095
ARL				:4.33708

------Generation 5------
Rule  1: 04000, Class:  2, CF:0.567272, Len:  1, Fitness_tra: 35
Rule  2: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 35
Rule  3: 040a0, Class:  2, CF:0.603641, Len:  2, Fitness_tra: 12
Rule  4: 04b00, Class:  2, CF:0.632617, Len:  2, Fitness_tra: 7
Rule  5: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 6
Rule  6: 32411, Class:  1, CF:0.878327, Len:  5, Fitness_tra: 2
Rule  7: 21124, Class:  0, CF:0.869943, Len:  5, Fitness_tra: 1
Rule  8: e4211, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 9d1bb, Class:  1, CF:0.937245, Len:  5, Fitness_tra: 0
Rule 10: 55211, Class:  1, CF:0.903202, Len:  5, Fitness_tra: 0
Rule 11: 95c47, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 12: 121b7, Class:  2, CF:0.296548, Len:  5, Fitness_tra: 0
Rule 13: 12712, Class:  2, CF:0.444275, Len:  5, Fitness_tra: 0
Rule 14: 18247, Class:  2, CF:0.107359, Len:  5, Fitness_tra: 0
Rule 15: e1221, Class:  0, CF:0.820636, Len:  5, Fitness_tra: 0
Rule 16: d5412, Class:  2, CF:0.00967472, Len:  5, Fitness_tra: 0
Rule 17: 31272, Class:  2, CF:0.0755542, Len:  5, Fitness_tra: 0
Rule 18: 51112, Class:  0, CF:0.43773, Len:  5, Fitness_tra: 0
Rule 19: 1c214, Class:  2, CF:0.710962, Len:  5, Fitness_tra: 0
Rule 20: d541b, Class:  2, CF:0.00967472, Len:  5, Fitness_tra: 0
Rule 21: 2312b, Class:  0, CF:0.868113, Len:  5, Fitness_tra: 0
Rule 22: 31241, Class:  1, CF:0.422239, Len:  5, Fitness_tra: 0
Rule 23: d5714, Class:  2, CF:0.227989, Len:  5, Fitness_tra: 0
Rule 24: 51214, Class:  2, CF:0.0735635, Len:  5, Fitness_tra: 0
Rule 25: 15c14, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 26: 91472, Class:  0, CF:0.942387, Len:  5, Fitness_tra: 0
Rule 27: 12472, Class:  0, CF:0.236303, Len:  5, Fitness_tra: 0
Rule 28: 9d447, Class:  1, CF:0.980972, Len:  5, Fitness_tra: 0
Rule 29: 12477, Class:  2, CF:0.341497, Len:  5, Fitness_tra: 0
Rule 30: 5121b, Class:  2, CF:0.349522, Len:  5, Fitness_tra: 0
Rule 31: 122b1, Class:  1, CF:0.272961, Len:  5, Fitness_tra: 0
Rule 32: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 33: 35221, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 18c47, Class:  1, CF:0.864273, Len:  5, Fitness_tra: 0
Rule 35: 11414, Class:  2, CF:0.462644, Len:  5, Fitness_tra: 0
Rule 36: 35444, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 37: 51474, Class:  0, CF:0.756067, Len:  5, Fitness_tra: 0
Rule 38: 11117, Class:  2, CF:0.431553, Len:  5, Fitness_tra: 0
Rule 39: 5141b, Class:  2, CF:0.349522, Len:  5, Fitness_tra: 0
Rule 40: 11111, Class:  2, CF:0.622076, Len:  5, Fitness_tra: 0
Rule 41: 511bb, Class:  0, CF:0.774009, Len:  5, Fitness_tra: 0
Rule 42: 52124, Class:  0, CF:0.60309, Len:  5, Fitness_tra: 0
Rule 43: e114b, Class:  0, CF:0.984336, Len:  5, Fitness_tra: 0
Rule 44: d2411, Class:  2, CF:0.760187, Len:  5, Fitness_tra: 0
Rule 45: 58277, Class:  2, CF:0.754227, Len:  5, Fitness_tra: 0
Rule 46: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 47: 11121, Class:  0, CF:0.0196941, Len:  5, Fitness_tra: 0
Rule 48: 12414, Class:  2, CF:0.407736, Len:  5, Fitness_tra: 0
Rule 49: 52224, Class:  0, CF:0.377106, Len:  5, Fitness_tra: 0
Rule 50: 92c27, Class:  1, CF:0.827686, Len:  5, Fitness_tra: 0
Rule 51: 92121, Class:  0, CF:0.360639, Len:  5, Fitness_tra: 0
Rule 52: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 53: d1211, Class:  2, CF:0.720836, Len:  5, Fitness_tra: 0
Rule 54: 1d127, Class:  1, CF:0.309326, Len:  5, Fitness_tra: 0
Rule 55: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 56: 38211, Class:  1, CF:0.983274, Len:  5, Fitness_tra: 0
Rule 57: 2111b, Class:  2, CF:0.309016, Len:  5, Fitness_tra: 0
Rule 58: 52272, Class:  0, CF:0.675028, Len:  5, Fitness_tra: 0
Rule 59: 8112b, Class:  0, CF:0.666824, Len:  5, Fitness_tra: 0
Rule 60: e0000, Class:  0, CF:0.15009, Len:  1, Fitness_tra: 0
Rule 61: 1c444, Class:  2, CF:0.822313, Len:  5, Fitness_tra: 0
Rule 62: 91444, Class:  0, CF:0.913976, Len:  5, Fitness_tra: 0
Rule 63: 00400, Class:  2, CF:0.291368, Len:  1, Fitness_tra: 0
Rule 64: 51424, Class:  0, CF:0.811218, Len:  5, Fitness_tra: 0
Rule 65: 95474, Class:  1, CF:0.992838, Len:  5, Fitness_tra: 0
