------Generation 0------
Rule  1: 12e11b812, Class:  0, CF:0.203343, Len:  9, Fitness_tra: 0
Rule 30: 2132578b8, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 31: 1d1454521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 213152874, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 33: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1132821b8, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 35: 219cd484b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 514251177, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 85bd97514, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2112d4141, Class:  0, CF:0.991683, Len:  9, Fitness_tra: 0
Rule 39: 11353281c, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 40: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 88353487b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 5d91d1c44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1861141bc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 0d0080000, Class:  0, CF:0.970686, Len:  2, Fitness_tra: 0
Rule 46: 25619754b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 126212c48, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 48: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 159c17542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 8162d482b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: c8e15bc1b, Class:  1, CF:0.59173, Len:  9, Fitness_tra: 0
Rule 55: 111d52211, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 56: 112112111, Class:  1, CF:0.105809, Len:  9, Fitness_tra: 0
Rule 57: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 28e854c74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: cd3222874, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1551122b1, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 61: 21e512877, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 11182b141, Class:  0, CF:0.998838, Len:  9, Fitness_tra: 0
Rule 63: c13814217, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 64: 2231d7cb4, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 65: 15913b84b, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 66: c2e817527, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: c8911b142, Class:  1, CF:0.957176, Len:  9, Fitness_tra: 0
Rule 68: 25e1d4541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 853152842, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 213822118, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 74: 12619b847, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: cc11112b2, Class:  1, CF:0.169475, Len:  9, Fitness_tra: 0
Rule 76: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: c11591cbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 8d6814211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 22e5d1cb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1de41b221, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 81: 0c0000000, Class:  1, CF:0.119474, Len:  0, Fitness_tra: 0
Rule 82: 2d6c518b4, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 83: 000700d00, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 84: 2215d1c11, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 85: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000020000, Class:  0, CF:0.0387495, Len:  1, Fitness_tra: 0
Rule 87: c5ec51817, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 2d6417c71, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 89: 151214827, Class:  0, CF:0.509324, Len:  9, Fitness_tra: 0
Rule 90: c83812842, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 91: 001110270, Class:  0, CF:0.857697, Len:  5, Fitness_tra: 0
Rule 92: 00a000000, Class:  0, CF:  1, Len:  0, Fitness_tra: 0
Rule 93: 28915b844, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: c56321541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 01108e101, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 853152842, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 00a000000, Class:  0, CF:  1, Len:  0, Fitness_tra: 0
Rule 98: d00b00000, Class:  0, CF:  1, Len:  2, Fitness_tra: 3
Rule 99: 13e41b261, Class:  0, CF:0.211329, Len:  9, Fitness_tra: 0
Rule100: 000e00000, Class:  0, CF:  1, Len:  1, Fitness_tra: 0
------Current------
Miss_rate(tra)	:57.3034
------Result------
Miss_rate(tra)	:57.3034
Miss_rate(tst)	:38.0952
ARL				:4.8871

------Generation 3------
Rule  1: 000b00000, Class:  1, CF:0.147475, Len:  1, Fitness_tra: 47
Rule  2: 00a000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 40
Rule  3: 0c0000000, Class:  1, CF:0.119474, Len:  1, Fitness_tra: 19
Rule  4: 000c00000, Class:  0, CF:0.229321, Len:  1, Fitness_tra: 4
Rule  5: 0d0000000, Class:  0, CF:0.765533, Len:  1, Fitness_tra: 6
Rule  6: 000000d00, Class:  0, CF:  1, Len:  1, Fitness_tra: 3
Rule  7: 000d00000, Class:  0, CF:  1, Len:  1, Fitness_tra: 3
Rule  8: 000080000, Class:  0, CF:0.115444, Len:  1, Fitness_tra: 3
Rule  9: d00b00000, Class:  0, CF:  1, Len:  2, Fitness_tra: 3
Rule 10: 000000500, Class:  0, CF:  1, Len:  1, Fitness_tra: 0
Rule 11: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 8141941d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 115254511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: c115d2121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 52b25b311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 813112512, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 18: c16112574, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: c5e21b8b7, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 20: 813181111, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 21: 15b111211, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 22: 21e811114, Class:  0, CF:0.341821, Len:  9, Fitness_tra: 0
Rule 23: 1898d7514, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 12e11211b, Class:  0, CF:0.214913, Len:  9, Fitness_tra: 0
Rule 25: 211194db1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 400000000, Class:  0, CF:0.00816255, Len:  1, Fitness_tra: 0
Rule 27: 81e292842, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 555512122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 400000000, Class:  0, CF:0.00816255, Len:  1, Fitness_tra: 0
Rule 30: 2132578b8, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 31: 1d1454521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 213152874, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 33: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1132821b8, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 35: 219cd484b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 514251177, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 85bd97514, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2112d4141, Class:  0, CF:0.991683, Len:  9, Fitness_tra: 0
Rule 39: 11353281c, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 40: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 88353487b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 5d91d1c44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1861141bc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 0d0080000, Class:  0, CF:0.970686, Len:  2, Fitness_tra: 0
Rule 46: 25619754b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 126212c48, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 48: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 159c17542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 8162d482b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: c8e15bc1b, Class:  1, CF:0.59173, Len:  9, Fitness_tra: 0
Rule 55: 111d52211, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 56: 112112111, Class:  1, CF:0.105809, Len:  9, Fitness_tra: 0
Rule 57: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 28e854c74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: cd3222874, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1551122b1, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 61: 21e512877, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 11182b141, Class:  0, CF:0.998838, Len:  9, Fitness_tra: 0
Rule 63: c13814217, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 64: 2231d7cb4, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 65: 15913b84b, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 66: c2e817527, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: c8911b142, Class:  1, CF:0.957176, Len:  9, Fitness_tra: 0
Rule 68: 25e1d4541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 853152842, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 213822118, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 74: 12619b847, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: cc11112b2, Class:  1, CF:0.169475, Len:  9, Fitness_tra: 0
Rule 76: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: c11591cbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 8d6814211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 22e5d1cb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1de41b221, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 81: 41329b8b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: c83212841, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 83: 119132c17, Class:  1, CF:0.420104, Len:  9, Fitness_tra: 0
Rule 84: 81d15b121, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 85: 1de2875b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 2de812511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 111884145, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 90: 11ec97c41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 25615717b, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 92: 31111b832, Class:  0, CF:0.818246, Len:  9, Fitness_tra: 0
Rule 93: 102100100, Class:  1, CF:0.188164, Len:  4, Fitness_tra: 0
Rule 94: 0015d0d00, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 95: 1d1751c21, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 96: 01070e101, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 5d94010c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: a06010c48, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 99: 050b03000, Class:  0, CF:0.342985, Len:  3, Fitness_tra: 0
Rule100: 001000070, Class:  0, CF:0.945093, Len:  2, Fitness_tra: 4
------Current------
Miss_rate(tra)	:57.0225
------Result------
Miss_rate(tra)	:57.0225
Miss_rate(tst)	:42.8571
ARL				:4.96825

------Generation 4------
Rule  1: 000b00000, Class:  1, CF:0.147475, Len:  1, Fitness_tra: 47
Rule  2: 00a000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 40
Rule  3: 0c0000000, Class:  1, CF:0.119474, Len:  1, Fitness_tra: 19
Rule  4: 000c00000, Class:  0, CF:0.229321, Len:  1, Fitness_tra: 4
Rule  5: 0d0000000, Class:  0, CF:0.765533, Len:  1, Fitness_tra: 6
Rule  6: 000000d00, Class:  0, CF:  1, Len:  1, Fitness_tra: 3
Rule  7: 000d00000, Class:  0, CF:  1, Len:  1, Fitness_tra: 3
Rule  8: 000080000, Class:  0, CF:0.115444, Len:  1, Fitness_tra: 3
Rule  9: d00b00000, Class:  0, CF:  1, Len:  2, Fitness_tra: 3
Rule 10: 000000500, Class:  0, CF:  1, Len:  1, Fitness_tra: 0
Rule 11: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 8141941d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 115254511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: c115d2121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 52b25b311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 813112512, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 18: c16112574, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: c5e21b8b7, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 20: 813181111, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 21: 15b111211, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 22: 21e811114, Class:  0, CF:0.341821, Len:  9, Fitness_tra: 0
Rule 23: 1898d7514, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 12e11211b, Class:  0, CF:0.214913, Len:  9, Fitness_tra: 0
Rule 25: 211194db1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 400000000, Class:  0, CF:0.00816255, Len:  1, Fitness_tra: 0
Rule 27: 81e292842, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 555512122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 400000000, Class:  0, CF:0.00816255, Len:  1, Fitness_tra: 0
Rule 30: 2132578b8, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 31: 1d1454521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 213152874, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 33: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1132821b8, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 35: 219cd484b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 514251177, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 85bd97514, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2112d4141, Class:  0, CF:0.991683, Len:  9, Fitness_tra: 0
Rule 39: 11353281c, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 40: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 88353487b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 5d91d1c44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1861141bc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 0d0080000, Class:  0, CF:0.970686, Len:  2, Fitness_tra: 0
Rule 46: 25619754b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 126212c48, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 48: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 159c17542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 8162d482b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: c8e15bc1b, Class:  1, CF:0.59173, Len:  9, Fitness_tra: 0
Rule 55: 111d52211, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 56: 112112111, Class:  1, CF:0.105809, Len:  9, Fitness_tra: 0
Rule 57: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 28e854c74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: cd3222874, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1551122b1, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 61: 21e512877, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 11182b141, Class:  0, CF:0.998838, Len:  9, Fitness_tra: 0
Rule 63: c13814217, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 64: 2231d7cb4, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 65: 15913b84b, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 66: c2e817527, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: c8911b142, Class:  1, CF:0.957176, Len:  9, Fitness_tra: 0
Rule 68: 25e1d4541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 853152842, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 213822118, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 74: 12619b847, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: cc11112b2, Class:  1, CF:0.169475, Len:  9, Fitness_tra: 0
Rule 76: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: c11591cbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 8d6814211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 22e5d1cb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1de41b221, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 81: 41329b8b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: c83212841, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 83: 119132c17, Class:  1, CF:0.420104, Len:  9, Fitness_tra: 0
Rule 84: 81d15b121, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 85: 1de2875b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 2de812511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 111884145, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 90: 11ec97c41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 25615717b, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 92: 31111b832, Class:  0, CF:0.818246, Len:  9, Fitness_tra: 0
Rule 93: 102100100, Class:  1, CF:0.188164, Len:  4, Fitness_tra: 0
Rule 94: 0015d0d00, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 95: 1d1751c21, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 96: 01070e101, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 5d94010c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: a06010c48, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 99: 050b03000, Class:  0, CF:0.342985, Len:  3, Fitness_tra: 0
Rule100: 001000070, Class:  0, CF:0.945093, Len:  2, Fitness_tra: 4
------Current------
Miss_rate(tra)	:57.0225
------Result------
Miss_rate(tra)	:57.0225
Miss_rate(tst)	:42.8571
ARL				:4.96825

------Generation 5------
Rule  1: 000b00000, Class:  1, CF:0.147475, Len:  1, Fitness_tra: 50
Rule  2: 00a000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 40
Rule  3: 0c0000000, Class:  1, CF:0.119474, Len:  1, Fitness_tra: 20
Rule  4: 0d0000000, Class:  0, CF:0.765533, Len:  1, Fitness_tra: 1
Rule  5: 000c00000, Class:  0, CF:0.229321, Len:  1, Fitness_tra: -1
Rule  6: 001000070, Class:  0, CF:0.945093, Len:  2, Fitness_tra: 3
Rule  7: 000000d00, Class:  0, CF:  1, Len:  1, Fitness_tra: 0
Rule  8: 000080000, Class:  0, CF:0.115444, Len:  1, Fitness_tra: 3
Rule  9: d00b00000, Class:  0, CF:  1, Len:  2, Fitness_tra: 3
Rule 10: 000d00000, Class:  0, CF:  1, Len:  1, Fitness_tra: 2
Rule 11: 000000500, Class:  0, CF:  1, Len:  1, Fitness_tra: 0
Rule 12: 8141941d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 115254511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: c115d2121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 52b25b311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 813112512, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 18: c16112574, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: c5e21b8b7, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 20: 813181111, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 21: 15b111211, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 22: 21e811114, Class:  0, CF:0.341821, Len:  9, Fitness_tra: 0
Rule 23: 1898d7514, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 12e11211b, Class:  0, CF:0.214913, Len:  9, Fitness_tra: 0
Rule 25: 211194db1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 400000000, Class:  0, CF:0.00816255, Len:  1, Fitness_tra: 0
Rule 27: 81e292842, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 555512122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 400000000, Class:  0, CF:0.00816255, Len:  1, Fitness_tra: 0
Rule 30: 2132578b8, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 31: 1d1454521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 213152874, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 33: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1132821b8, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 35: 219cd484b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 514251177, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 85bd97514, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2112d4141, Class:  0, CF:0.991683, Len:  9, Fitness_tra: 0
Rule 39: 11353281c, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 40: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 88353487b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 5d91d1c44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1861141bc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 0d0080000, Class:  0, CF:0.970686, Len:  2, Fitness_tra: 0
Rule 46: 25619754b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 126212c48, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 48: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 159c17542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 8162d482b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: c8e15bc1b, Class:  1, CF:0.59173, Len:  9, Fitness_tra: 0
Rule 55: 111d52211, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 56: 112112111, Class:  1, CF:0.105809, Len:  9, Fitness_tra: 0
Rule 57: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 28e854c74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
